date;opération;stratégie;symbol;sens;date ouv.;date signal;volume;prix ouv;prix actuel;prix ferm;prix_clot;commis;profit;p reel;messag
2025-11-16 16:54:24.242344;Close OK. order_send(): by;pmxRKO;ETHUSD;sell;2025-11-16 18:53:19;2025-11-16 17:50:00;1.0;3147.82;3130.53;3130.53;3129.83;0.00;14.88;15.48;norm
2025-11-16 17:09:18.191833;Close OK. order_send(): by;pmxRKO;ETHUSD;sell;2025-11-16 19:04:31;2025-11-16 18:00:00;1.0;3114.22;3100.38;3100.03;3100.03;0.00;11.91;12.21;norm
2025-11-16 17:41:02.186478;Close OK. order_send(): by;pmxRKO;ETHUSD;sell;2025-11-16 19:40:07;2025-11-16 18:40:00;1.0;3060.42;3083.28;3083.28;3082.88;0.00;-19.67;-19.33;norm
2025-11-16 18:58:36.248092;Close OK. order_send(): by;pmxRKO;ETHUSD;sell;2025-11-16 20:56:14;2025-11-16 19:50:00;1.0;3024.17;3053.28;3051.53;3051.53;0.00;-25.05;-23.54;norm
2025-11-16 19:02:46.235794;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 21:02:24;2025-11-16 20:00:00;1.0;3105.73;3113.17;3113.17;3113.17;0.00;6.40;6.40;norm
2025-11-16 19:11:49.218128;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 21:03:30;2025-11-16 20:00:00;1.0;3101.03;3114.12;3114.27;3114.27;0.00;11.26;11.39;norm
2025-11-16 20:10:22.264683;Close OK. order_send(): by;pmxRKO;ETHUSD;sell;2025-11-16 21:50:23;2025-11-16 20:50:00;1.0;3061.27;3089.48;3089.33;3089.33;0.00;-24.27;-24.15;norm
2025-11-16 20:10:49.231869;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 22:10:22;2025-11-16 21:10:00;1.0;3087.28;3098.52;3098.32;3098.32;0.00;9.67;9.50;norm
2025-11-16 21:10:49.245807;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 22:10:49;2025-11-16 21:10:00;1.0;3105.03;3105.52;3105.52;3105.37;0.00;0.42;0.29;norm
2025-11-16 21:10:50.269506;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:49;2025-11-16 22:10:00;1.0;3108.13;3105.57;3105.57;3105.57;0.00;-2.20;-2.20;norm
2025-11-16 21:10:51.311594;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:50;2025-11-16 22:10:00;1.0;3108.13;3105.47;3105.47;3105.47;0.00;-2.29;-2.29;norm
2025-11-16 21:10:52.344332;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:51;2025-11-16 22:10:00;1.0;3108.38;3105.37;3105.37;3105.37;0.00;-2.59;-2.59;norm
2025-11-16 21:10:53.275913;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:52;2025-11-16 22:10:00;1.0;3107.98;3105.42;3105.42;3105.42;0.00;-2.20;-2.20;norm
2025-11-16 21:10:55.320431;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:53;2025-11-16 22:10:00;1.0;3107.98;3105.42;3105.42;3105.42;0.00;-2.20;-2.20;norm
2025-11-16 21:10:56.393321;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:55;2025-11-16 22:10:00;1.0;3107.98;3106.02;3106.07;3106.07;0.00;-1.69;-1.64;norm
2025-11-16 21:10:57.345451;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:56;2025-11-16 22:10:00;1.0;3108.63;3106.02;3106.02;3105.82;0.00;-2.25;-2.42;norm
2025-11-16 21:10:58.297746;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:57;2025-11-16 22:10:00;1.0;3108.38;3105.52;3105.52;3105.52;0.00;-2.46;-2.46;norm
2025-11-16 21:10:59.300953;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:58;2025-11-16 22:10:00;1.0;3108.08;3105.52;3105.52;3105.52;0.00;-2.20;-2.20;norm
2025-11-16 21:11:00.290173;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:10:59;2025-11-16 22:10:00;1.0;3108.08;3105.32;3105.32;3105.32;0.00;-2.37;-2.37;norm
2025-11-16 21:11:01.725127;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:11:00;2025-11-16 22:10:00;1.0;3109.08;3105.87;3105.87;3105.87;0.00;-2.76;-2.76;norm
2025-11-16 21:11:02.774750;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:11:01;2025-11-16 22:10:00;1.0;3108.48;3105.92;3105.92;3105.92;0.00;-2.20;-2.20;norm
2025-11-16 21:11:03.728468;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:11:02;2025-11-16 22:10:00;1.0;3108.38;3105.82;3105.82;3105.82;0.00;-2.20;-2.20;norm
2025-11-16 21:11:04.727517;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:11:03;2025-11-16 22:10:00;1.0;3108.38;3105.92;3105.92;3105.92;0.00;-2.12;-2.12;norm
2025-11-16 21:11:08.340351;Close OK. order_send(): by;pmxRKO;ETHUSD;buy;2025-11-16 23:11:04;2025-11-16 22:10:00;1.0;3108.48;3105.57;3105.57;3105.57;0.00;-2.50;-2.50;norm
